title,source,publication_date,article_url,article_summary,is_adverse,adverse_category,confidence_score,reason,detection_layer,article_risk_score,score_category,score_confidence,score_source,recency_points,raw_category,raw_confidence,raw_source,raw_recency
Tesla’s Robotaxi Falls Short With Long Waits and Stalled Rides - Bloomberg.com,Bloomberg.com,2026-06-10,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOLTFneHBIbFZIQ3g1V3VlLXlEWkthOW1MRWFLS2dNbUNrRkp4eV9Bci02THhPTzFMMkdfVnlhOGJ1bERJMWE5SUhSSmotNDg5dXJJSkJPcV9YYUYtWnJmVlNNQTE1bzRoUnF0QkYxTnJjVXJyX01zZklBM1VOVmpIVVJSb1Y5UEJlUTJNX1RjNnRNZVlhN0JUaVlzcXhEUDBpaGVlbV9NaFk4VVVqd19XMzM2dzI5VmVC?oc=5,Tesla’s Robotaxi Falls Short With Long Waits and Stalled Rides&nbsp;&nbsp;Bloomberg.com,True,Operational Risk,0.9,"Tesla's Robotaxi experienced product malfunctions, including long waits and stalled rides",llm,80.18,24.0,22.5,20.0,13.68,0.6,0.9,1.0,0.912
Tesla robotaxis stall as Musk’s self-driving hype hits real-world traffic - Los Angeles Times,Los Angeles Times,2026-06-10,https://news.google.com/rss/articles/CBMivwFBVV95cUxQbWt3RjZ6MjczZTM5RDFHX3J1RzZSNzRCWW9BRXNxNjRiYllHNG9Wc3BVZldzTXJIc1NGTWhqNWIzcVFpYnEzYzNTZjNxaVNaMkMxQ1JZRFlDdTFydldHMmJKaGVGMUFKU19BZDYtMEVXT0NocE9UbjJVMFV6b2JZMXlQU0RuTU5YVTFVcmxEbjZMY0d0U3V6Tk9uWTJlTzJpa245UWxOaG5yTWFBT216d3ItTnExOTNDVEZGSHU2RQ?oc=5,Tesla robotaxis stall as Musk’s self-driving hype hits real-world traffic&nbsp;&nbsp;Los Angeles Times,True,Operational Risk,0.9,Tesla robotaxis stalling,llm,77.18,24.0,22.5,17.0,13.68,0.6,0.9,0.85,0.912
Tesla crashes into Redmond garage after reported autopilot malfunction - KING5.com,KING5.com,2026-06-08,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPSEoyZFJlY2pVV3czUGtZaktEX05QZkdnSDdnUGVmNFBLSTUzSzV4YkhXX1k5TWxrRzh0WkxkTVpDbjRMSldRZHpQcEFhbGFUa3JrSC1vbk1MLXUxaGJVOFBvMUJpOURqbTFPVEg2ZDRYWk5SeXpUNGhVVGREWFJ1WkhtenFrMEVXQ3N2UDNETHJSSDVPOUJGcDJxWFlzQkNoZFNTZWRLaEx0QzU2R0V0dWtJd1JDZ0gwMkQwVDZPZUdfbUJxNS1LU2ZRWXhKZlRobVBWZlIyVUdHMmJteW9pUXZOVkgxTEE?oc=5,Tesla crashes into Redmond garage after reported autopilot malfunction&nbsp;&nbsp;KING5.com,True,Operational Risk,0.9,Tesla autopilot malfunction resulting in a crash,llm,72.56,24.0,22.5,13.0,13.06,0.6,0.9,0.65,0.871
O.C. Uber customer says driver asleep in Tesla on 405 Freeway - KTLA,KTLA,2026-06-10,https://news.google.com/rss/articles/CBMihAFBVV95cUxPRXppU2hUQ2o0eGhaZ0RoMndiOW91bnFwa0t0Q3hVZzBuTWE5N25ic0RyLWNiZExpNTZTRnRFSEhiWVdHdnNNNjB5UWRndkpwNmxuR1VsdWhLdm1FQzUzYkF2VjluWHVMdG4zSUp4a3ZOc3VYSW1hTDhvUWlVT0ZqVEFNY3XSAYoBQVVfeXFMUGh2cTloeUhFZVB6ZUR4cHdtdDcxeHJza29DSWs2NVRpVnhnSjZGRHdpTWlEMF9OMXZTdk5fYk5GS3FqWE9SRVNHWjZxdGtRWktQNXE1N2FTZ29JQ0U3Q0w4MGV0VUI5MmpwU1BOanhTM2Z0MVVyZ3FnVnNxQ3p4WVc4WGw4YUpyZnlB?oc=5,O.C. Uber customer says driver asleep in Tesla on 405 Freeway&nbsp;&nbsp;KTLA,True,Operational Risk,0.8,Tesla vehicle involved in safety incident with driver asleep,llm,70.68,24.0,20.0,13.0,13.68,0.6,0.8,0.65,0.912
TSLA Stock Sinks As SpaceX IPO Nears — Analyst Says Investors Are Selling Tesla To Catch A Day-1 Pop In Next Musk Trade,newsable_asianetnews,2026-06-11,https://newsable.asianetnews.com/markets/tsla-stock-sinks-as-spacex-ipo-nears-analyst-says-investors-are-selling-tesla-to-catch-a-day-1-pop-in-next-musk-trade-articleshow-pq6mhs9,"Black expects a strong debut, saying Goldman Sachs and Morgan Stanley could ""engineer a Day 1 pop"" for SpaceX investors.",False,Not Adverse,1.0,"Article discusses stock volatility and analyst speculation, which is not a material adverse event.",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prediction: Here's When SpaceX Will Merge With Tesla - Yahoo Finance,Yahoo Finance,2026-06-11,https://news.google.com/rss/articles/CBMiogFBVV95cUxOWlhVYm9fZlJ6anlGcks1TDhXTnhneXFTVDNCNXhPV3BIUUdIdkwzU3ZYb2EtNnZ1Tm16X3ZDLV9yaE5FaVpJa0gwMUpjLXhrR3k1OVllbWRxMzlrRy1RVk5rd2h4YnBGOXhsM0VLTkFOUDJHRkNleEVKZDhRMTJyMDhpSmx0QmtYemlkTC1KMWx0QU9wUGU4NUFiNFlqeVRvREE?oc=5,Prediction: Here's When SpaceX Will Merge With Tesla&nbsp;&nbsp;Yahoo Finance,False,Not Adverse,1.0,Article is speculative about a potential merger and does not describe a material negative event.,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gift Nifty Signals Weak Open Amid Crude, US-Iran Tensions",fivepaisa,2026-06-11,https://www.5paisa.com/news/gift-nifty-signals-weak-opening-amid-crude-rally-us-iran-tensions-june-11-2026,Gift Nifty points to a weak market opening as rising crude oil prices and escalating US-Iran tensions weigh on global investor sentiment.,False,Not Adverse,1.0,Article does not mention Tesla as subject of a material negative event,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cathie Wood Asks Elon Musk How Tesla Handles 'Parking And Traffic Violations' After The Robotaxi She Rode Gets $75 Ticket - Yahoo Finance,Yahoo Finance,2026-06-11,https://news.google.com/rss/articles/CBMilgFBVV95cUxNcWhVOV9tajEyNDM0Q2JhclBfbzluM0FuQUQwdVFSZDNTOVRHdTNOUmotV2ZIYXFwV21HMDZWV2drRmdBclpselVMbkNfTHlxcUpOanlLdVA0QzFfZXZ2MUt3OUxZeDdKQ2hyQmhBazk2RGhNOFN6OFBDcHlVMTBwSUhEeDFTbXdiQjF0ZjNiUjNVRWpMRVE?oc=5,Cathie Wood Asks Elon Musk How Tesla Handles 'Parking And Traffic Violations' After The Robotaxi She Rode Gets $75 Ticket&nbsp;&nbsp;Yahoo Finance,False,Not Adverse,1.0,Parking ticket is a minor incident and not a material negative event,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How Tesla’s Stock Listing in 2010 Enabled SpaceX’s I.P.O. - The New York Times,The New York Times,2026-06-11,https://news.google.com/rss/articles/CBMigAFBVV95cUxQR1lqc1c1ME05N1l1QW5fWV9VWi1KNEJ6VDljUkJBMWZfYUFjV191Zjl4UzZ6S2JQZ3U3eGJpTVhqQ1B1TU1KTVVmc3VUVkpmRDE3bnp3NG1yUlJJMUFZZ2xuN0NIWjhSOFFDWmw2YkhoendzUFlTcXZaN3VUQW45LQ?oc=5,How Tesla’s Stock Listing in 2010 Enabled SpaceX’s I.P.O.&nbsp;&nbsp;The New York TimesTesla Stock Rises. Is SpaceX Selling Pressure Over?&nbsp;&nbsp;Barron'sMusk’s Net Worth Down More Than $50 Billion Ahead Of SpaceX IPO&nbsp;&nbsp;Forbes,False,Not Adverse,1.0,"Article discusses stock performance and IPO plans, no material negative event",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What Does Denmark's FSD Approval Mean for Tesla in Europe? - Yahoo Finance Singapore,Yahoo Finance Singapore,2026-06-11,https://news.google.com/rss/articles/CBMihwFBVV95cUxOSTZSR2o5ZDF1RWZVQ3BRYnZ2N3ZabUp0ME1ZdnFReXE2bmFMUVdaQ3lILTBDakg4OWk0MVBZZDExd3VzSDBNellRNW5pME5KblV5UVVydjBOZ2ItNVRaVWdzakNfZllXU2FQUXA2VEIzeWVUd3B6NlBXUy1WR1VlRXEyd3piX00?oc=5,What Does Denmark's FSD Approval Mean for Tesla in Europe?&nbsp;&nbsp;Yahoo Finance Singapore,False,Not Adverse,1.0,"Article discusses regulatory approval, which is not adverse",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
